Disease,Description
Fungal infection,"A fungal infection occurs when fungi overgrow on the skin, nails, or body folds. It commonly affects warm, moist areas and causes itching, redness, and mild scaling. Fungal infections are very common and respond well to antifungal creams or medication within a few weeks."
Allergy,"An allergy is your immune system's response to a substance it considers harmful, such as pollen, dust, certain foods, or pet dander. Symptoms like sneezing, itching, or a runny nose are uncomfortable but manageable. With the right treatment and a few lifestyle adjustments, most people with allergies live completely normal lives."
GERD,"GERD (Gastroesophageal Reflux Disease) is a common digestive condition where stomach acid occasionally flows back into the food pipe, causing a burning sensation in the chest or a sour taste in the mouth. It is very treatable ÃÂ¢ÃÂÃÂ simple dietary changes, avoiding late meals, and medication can bring lasting relief for most people."
Chronic cholestasis,"Chronic cholestasis is a liver condition where bile flow slows down over time, leading to symptoms like itching, mild yellowing of the skin, and fatigue. It is a manageable condition with regular medical follow-up and appropriate treatment to keep the liver healthy."
Drug Reaction,A drug reaction is your body's way of signalling that a particular medication does not suit it. Symptoms are usually mild ÃÂ¢ÃÂÃÂ such as a skin rash or itching ÃÂ¢ÃÂÃÂ and resolve once the medication is stopped. Always inform your doctor about any unusual symptoms after starting a new medicine so they can find a better alternative for you.
Peptic ulcer disease,"Peptic ulcer disease involves small sores that form in the lining of the stomach or upper intestine, often causing a burning or gnawing pain in the abdomen. The good news is that most ulcers heal completely with a short course of medication, and simple dietary changes can help ease discomfort during recovery."
AIDS,"AIDS is a condition that develops from long-term untreated HIV infection, affecting the body's immune response. With modern antiretroviral therapy, people living with HIV can manage their health effectively and lead long, fulfilling lives. Early diagnosis and consistent treatment make a significant difference."
Diabetes,"Diabetes is a common long-term condition where the body has difficulty regulating blood sugar levels. With the right combination of medication, a balanced diet, regular physical activity, and routine check-ups, most people with diabetes manage their condition well and live healthy, active lives."
Gastroenteritis,"Gastroenteritis, commonly known as a stomach bug, is a short-term infection of the stomach and intestines that causes nausea, vomiting, diarrhoea, and stomach cramps. It usually passes on its own within 2-3 days. Staying well hydrated and resting are the most important steps to feeling better quickly."
Bronchial Asthma,"Bronchial asthma is a common respiratory condition where the airways become temporarily sensitive, causing episodes of wheezing, chest tightness, or shortness of breath. It is very well managed with modern inhalers and a simple action plan. Most people with asthma live active, unrestricted lives with the right treatment."
Hypertension,"Hypertension, or high blood pressure, is a very common condition where the force of blood against artery walls is consistently higher than normal. It usually has no noticeable symptoms, which is why regular check-ups are important. With medication, a healthy diet, and moderate exercise, blood pressure can be kept well under control."
Migraine,"A migraine is a type of recurring headache that can cause moderate to intense throbbing pain, often on one side of the head, and may be accompanied by nausea or sensitivity to light and sound. Migraines are very common and, while uncomfortable, are manageable with the right medication and by identifying personal triggers."
Cervical spondylosis,"Cervical spondylosis is a natural, age-related change in the bones and discs of the neck. It may cause stiffness, mild neck pain, or occasional discomfort in the shoulders and arms. Most people find good relief through physiotherapy, gentle exercises, and pain management."
Paralysis (brain hemorrhage),"Paralysis following a brain hemorrhage occurs when bleeding in the brain temporarily affects movement or sensation in parts of the body. Recovery varies from person to person, and rehabilitation Ã¢ÂÂ including physiotherapy and occupational therapy Ã¢ÂÂ plays a key role in regaining function over time."
Jaundice,"Jaundice is a condition where the skin and whites of the eyes take on a yellowish tint due to a build-up of bilirubin in the blood. It is usually a sign of an underlying liver or bile duct issue. With proper diagnosis and treatment of the underlying cause, jaundice typically resolves well."
Malaria,"Malaria is a treatable infection spread through the bite of an infected mosquito, causing recurring fever, chills, and fatigue. It responds well to antimalarial medication when diagnosed promptly. Taking preventive measures like mosquito repellents and nets significantly reduces the risk."
Chicken pox,"Chickenpox is a common and usually mild viral infection that causes an itchy, blister-like rash across the body, along with mild fever and tiredness. It is most common in children and typically resolves on its own within 1-2 weeks. Rest, fluids, and soothing creams help ease discomfort during recovery."
Dengue,"Dengue is a viral infection transmitted by mosquitoes, causing fever, body aches, and fatigue. Most cases are mild and recover fully with rest and good hydration within a week. Protecting yourself from mosquito bites is the most effective way to prevent dengue."
Typhoid,"Typhoid is a bacterial infection spread through contaminated food or water, causing a prolonged fever, tiredness, and digestive discomfort. It responds well to a course of antibiotics, and most people recover fully with proper treatment and rest."
Hepatitis A,"Hepatitis A is a short-term viral liver infection spread through contaminated food or water. It causes fatigue, nausea, and mild jaundice, but the body clears the infection on its own in most cases. Rest, good nutrition, and avoiding alcohol support a smooth recovery."
Hepatitis B,"Hepatitis B is a viral liver infection spread through contact with infected blood or bodily fluids. Many people clear the infection naturally, while others may carry it long-term. Regular monitoring and antiviral treatment, where needed, help keep the liver healthy and prevent complications."
Hepatitis C,"Hepatitis C is a viral infection that affects the liver and is spread primarily through blood-to-blood contact. Many people have no symptoms for years, but it is now highly treatable â modern antiviral medications cure most cases within 8 to 12 weeks."
Hepatitis D,"Hepatitis D is a liver infection that only occurs alongside Hepatitis B. It can make Hepatitis B symptoms more noticeable, but it is manageable with appropriate medical care and regular liver monitoring."
Hepatitis E,"Hepatitis E is a liver infection spread through contaminated drinking water. It typically causes mild symptoms like fatigue, nausea, and jaundice, and most people recover fully on their own within a few weeks with rest and good hydration."
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver caused by heavy alcohol use over time. Reducing or stopping alcohol consumption is the most important step in recovery, and the liver has a remarkable ability to heal when given the chance. Medical support is available to help with both liver health and alcohol reduction."
Tuberculosis,"Tuberculosis (TB) is a bacterial infection that primarily affects the lungs, causing a persistent cough, mild fever, and fatigue. It is fully curable with a standard course of antibiotics taken over several months. With consistent treatment, most people recover completely and are no longer contagious within a few weeks of starting medication."
Common Cold,"The common cold is a mild viral infection of the upper respiratory tract that causes a runny nose, sneezing, sore throat, and mild fatigue. It is extremely common and almost always resolves on its own within 7-10 days. Rest, warm fluids, and over-the-counter remedies help ease symptoms."
Pneumonia,"Pneumonia is an infection that causes inflammation in one or both lungs, leading to cough, fever, and some difficulty breathing. It is treatable with antibiotics or antiviral medication depending on the cause, and most healthy individuals recover well with proper rest and treatment."
Dimorphic hemmorhoids(piles),"Piles (haemorrhoids) are swollen blood vessels in or around the rectum and anus that can cause discomfort, itching, or mild bleeding during bowel movements. They are very common and usually respond well to dietary changes, increased fibre intake, and topical treatments. Most cases do not require surgery."
Heart attack,"A heart attack occurs when blood supply to part of the heart muscle is temporarily reduced. It is a serious event that requires prompt medical attention, but with timely treatment, most people recover well and go on to live healthy lives with appropriate lifestyle changes and medication."
Varicose veins,"Varicose veins are enlarged, twisted veins that appear just under the skin, most commonly in the legs. They may cause mild aching, heaviness, or swelling after standing for long periods. Many people manage them comfortably with compression stockings, regular movement, and leg elevation."
Hypothyroidism,"Hypothyroidism is a common condition where the thyroid gland produces less hormone than the body needs, leading to fatigue, weight gain, and feeling cold or sluggish. It is easily managed with a daily thyroid hormone tablet, and most people feel significantly better once their levels are balanced."
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces more hormone than the body needs, causing symptoms like a faster heartbeat, weight loss, and feeling warm or anxious. It is a treatable condition, and several effective options including medication, radioactive iodine, or minor procedures can restore normal thyroid function."
Hypoglycemia,"Hypoglycaemia is a temporary drop in blood sugar levels that can cause shakiness, sweating, dizziness, or light-headedness. It is usually easy to manage by consuming a small amount of fast-acting sugar. Understanding your triggers and keeping a snack on hand helps prevent episodes."
Osteoarthritis,"Osteoarthritis is a common joint condition that develops gradually as the protective cartilage in joints wears down over time, causing stiffness and discomfort most often in the knees, hips, or hands. Gentle exercise, weight management, and pain relief options can significantly improve comfort and mobility."
Arthritis,"Arthritis refers to inflammation of one or more joints, causing pain, swelling, and stiffness. It is very common, particularly as we age, and comes in many forms. With the right treatment plan including medication, physiotherapy, and lifestyle adjustments, most people manage their symptoms well and stay active."
(vertigo) Paroxysmal Positional Vertigo,"Benign Paroxysmal Positional Vertigo (BPPV) is a common inner ear condition that causes brief episodes of dizziness triggered by certain head movements. It sounds alarming but is completely benign and highly treatable. A simple procedure called the Epley manoeuvre, performed by a physiotherapist, resolves most cases quickly."
Acne,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to pimples, blackheads, or whiteheads. It most commonly affects teenagers but can occur at any age. With the right skincare routine and treatment, acne is very manageable and skin can clear significantly."
Urinary tract infection,"A urinary tract infection (UTI) is a common bacterial infection affecting the bladder or urethra, causing a burning sensation when urinating and a frequent urge to use the toilet. UTIs are very common, especially in women, and clear up quickly with a short course of antibiotics. Staying well hydrated helps both prevention and recovery."
Psoriasis,"Psoriasis is a chronic skin condition that causes patches of red, thickened, scaly skin, most commonly on the elbows, knees, and scalp. It is not contagious and is caused by an overactive immune response. While it is a long-term condition, many effective treatments are available to keep flare-ups under control and maintain clear skin."
Impetigo,"Impetigo is a mild, contagious bacterial skin infection that causes red sores or blisters, most commonly around the nose and mouth. It is very common in young children and clears up quickly with antibiotic cream or tablets. Good hand hygiene and keeping sores covered helps prevent it from spreading."
