Disease,Medication
Fungal infection,"['Clotrimazole (topical antifungal cream)', 'Terbinafine (oral or topical)', 'Fluconazole (oral antifungal)', 'Ketoconazole (shampoo or cream)', 'Miconazole (topical)']"
Allergy,"['Antihistamines (e.g. cetirizine, loratadine)', 'Nasal corticosteroid sprays (e.g. fluticasone)', 'Decongestants (e.g. pseudoephedrine)', 'Epinephrine auto-injector (for severe reactions)', 'Allergen immunotherapy (long-term desensitisation)']"
GERD,"['Proton pump inhibitors (e.g. omeprazole, pantoprazole)', 'H2 blockers (e.g. ranitidine, famotidine)', 'Antacids (e.g. aluminium hydroxide, calcium carbonate)', 'Prokinetics (e.g. domperidone)', 'Antibiotics (e.g. amoxicillin + clarithromycin if H. pylori present)']"
Chronic cholestasis,"['Ursodeoxycholic acid (to improve bile flow)', 'Cholestyramine (to relieve itching)', 'Rifampicin (for persistent itch)', 'Fat-soluble vitamin supplements (A, D, E, K)', 'Corticosteroids (in selected cases under specialist guidance)']"
Drug Reaction,"['Antihistamines (e.g. cetirizine, diphenhydramine) for mild rashes', 'Corticosteroids (e.g. prednisolone) for moderate reactions', 'Epinephrine injection (for severe anaphylactic reactions)', 'Topical corticosteroid cream for localised skin reactions', 'Discontinuation of the offending drug (essential first step)']"
Peptic ulcer disease,"['Proton pump inhibitors (e.g. omeprazole, lansoprazole)', 'H2 blockers (e.g. famotidine)', 'Antibiotics (e.g. amoxicillin + clarithromycin for H. pylori eradication)', 'Antacids for symptomatic relief', 'Sucralfate (cytoprotective agent to coat the ulcer)']"
AIDS,"['Antiretroviral therapy (ART) — combination of drugs from multiple classes', 'Nucleoside reverse transcriptase inhibitors (e.g. tenofovir, emtricitabine)', 'Integrase inhibitors (e.g. dolutegravir)', 'Protease inhibitors (e.g. ritonavir)', 'Prophylactic antibiotics to prevent opportunistic infections']"
Diabetes,"['Metformin (first-line oral medication for type 2 diabetes)', 'Insulin (for type 1 diabetes and advanced type 2)', 'SGLT-2 inhibitors (e.g. empagliflozin)', 'GLP-1 receptor agonists (e.g. semaglutide)', 'DPP-4 inhibitors (e.g. sitagliptin)']"
Gastroenteritis,"['Oral rehydration solution (ORS) — the most important treatment', 'Antiemetics (e.g. ondansetron) for persistent vomiting', 'Antidiarrhoeal agents (e.g. loperamide) in mild cases', 'Antibiotics (only if bacterial cause is confirmed)', 'Probiotics to support gut flora recovery']"
Bronchial Asthma,"['Short-acting bronchodilators (e.g. salbutamol inhaler) for quick relief', 'Inhaled corticosteroids (e.g. beclomethasone) for daily prevention', 'Long-acting bronchodilators (e.g. salmeterol) for maintenance', 'Leukotriene receptor antagonists (e.g. montelukast)', 'Oral corticosteroids (e.g. prednisolone) for acute exacerbations']"
Hypertension,"['ACE inhibitors (e.g. ramipril, enalapril)', 'Calcium channel blockers (e.g. amlodipine)', 'Thiazide diuretics (e.g. hydrochlorothiazide)', 'Beta-blockers (e.g. atenolol, bisoprolol)', 'Angiotensin receptor blockers (e.g. losartan)']"
Migraine,"['Triptans (e.g. sumatriptan) for acute attacks', 'NSAIDs (e.g. ibuprofen, naproxen) for mild to moderate attacks', 'Paracetamol with antiemetic (e.g. metoclopramide)', 'Preventive medications (e.g. propranolol, topiramate, amitriptyline)', 'CGRP antagonists (e.g. erenumab) for chronic migraine']"
Cervical spondylosis,"['NSAIDs (e.g. ibuprofen, diclofenac) for pain and inflammation', 'Muscle relaxants (e.g. cyclobenzaprine, methocarbamol)', 'Paracetamol for mild pain relief', 'Topical analgesic gels (e.g. diclofenac gel)', 'Corticosteroid injections (for nerve root compression under specialist guidance)']"
Paralysis (brain hemorrhage),"['Antihypertensive medications to control blood pressure', 'Anticoagulants or antiplatelet drugs (e.g. aspirin, clopidogrel) as directed by specialist', 'Anticonvulsants (e.g. levetiracetam) if seizures occur', 'Spasticity medications (e.g. baclofen, tizanidine)', 'Physiotherapy and occupational therapy as core components of rehabilitation']"
Jaundice,"['Treatment of the underlying cause (antiviral, antibiotics, or other as appropriate)', 'Ursodeoxycholic acid (for cholestatic jaundice)', 'Antihistamines or cholestyramine for itch relief', 'IV fluids if dehydration is present', 'Vitamin K (if clotting is affected due to liver dysfunction)']"
Malaria,"['Artemisinin-based combination therapy (ACT) — first-line treatment', 'Chloroquine (for chloroquine-sensitive malaria)', 'Primaquine (to prevent relapse in P. vivax malaria)', 'Paracetamol or ibuprofen for fever and pain', 'IV artesunate (for severe malaria in hospital)']"
Chicken pox,"['Aciclovir (antiviral, most effective when started within 24 hours of rash onset)', 'Paracetamol for fever and discomfort (avoid aspirin in children)', 'Calamine lotion or antihistamine cream for itch relief', 'Oral antihistamines (e.g. chlorphenamine) for severe itching', 'Antibiotics (only if bacterial skin infection develops)']"
Dengue,"['Paracetamol for fever and pain (avoid aspirin and ibuprofen)', 'Oral rehydration solution (ORS) to maintain hydration', 'IV fluids (in hospital for severe dengue)', 'Platelet transfusion (only in cases of severe bleeding under medical supervision)', 'Close monitoring of platelet count and haematocrit']"
Typhoid,"['Antibiotics (e.g. azithromycin, ceftriaxone, or ciprofloxacin)', 'Paracetamol for fever management', 'Oral rehydration solution (ORS) for hydration', 'IV fluids and antibiotics (for severe or complicated typhoid in hospital)', 'Typhoid vaccine (for prevention in high-risk areas)']"
hepatitis A,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
Hepatitis B,"['Antiviral medications (e.g. tenofovir, entecavir) for chronic Hepatitis B', 'Pegylated interferon alfa (for selected patients)', 'Regular liver function monitoring (essential part of management)', 'Hepatitis B vaccine (for prevention in uninfected individuals)', 'Supportive care including rest and nutrition during acute infection']"
Hepatitis C,"['Direct-acting antivirals (DAAs) — e.g. sofosbuvir + velpatasvir (highly effective, 8-12 week course)', 'Ribavirin (used in combination in some regimens)', 'Regular liver function and viral load monitoring during treatment', 'Supportive care for symptom management', 'Liver specialist review for assessment of liver fibrosis and treatment planning']"
Hepatitis D,"['Pegylated interferon alfa (currently the main treatment option)', 'Bulevirtide (newer entry inhibitor approved in some countries)', 'Antiviral treatment for underlying Hepatitis B', 'Regular liver function monitoring', 'Supportive care and alcohol avoidance']"
Hepatitis E,"['Supportive care — rest, hydration, and nutrition (most cases resolve without specific treatment)', 'Ribavirin (for severe or chronic Hepatitis E in immunocompromised patients)', 'Antiemetics for nausea management', 'Vitamin and nutritional support if appetite is poor', 'Specialist review for pregnant women or those with pre-existing liver disease']"
Alcoholic hepatitis,"['Complete alcohol cessation (the most critical intervention)', 'Corticosteroids (e.g. prednisolone) for severe alcoholic hepatitis', 'Nutritional support — high-protein, high-calorie diet or supplements', 'Pentoxifylline (in selected cases)', 'Liver specialist review and monitoring of liver function']"
Tuberculosis,"['Isoniazid (first-line TB antibiotic)', 'Rifampicin (first-line TB antibiotic)', 'Pyrazinamide (used in the initial 2-month intensive phase)', 'Ethambutol (used in the initial 2-month intensive phase)', 'Full 6-month treatment course must be completed without interruption']"
Common Cold,"['Paracetamol or ibuprofen for fever and body aches', 'Decongestants (e.g. pseudoephedrine, xylometazoline nasal spray)', 'Antihistamines (e.g. chlorphenamine) for runny nose and sneezing', 'Throat lozenges and honey-lemon drinks for sore throat', 'Saline nasal rinse to relieve congestion']"
Pneumonia,"['Antibiotics (e.g. amoxicillin, azithromycin, or doxycycline depending on cause)', 'Paracetamol or ibuprofen for fever and chest pain', 'Bronchodilators (e.g. salbutamol) if wheeze is present', 'IV antibiotics and oxygen therapy (for hospitalised patients)', 'Pneumococcal and influenza vaccines (for prevention)']"
Dimorphic hemmorhoids(piles),"['Topical haemorrhoid creams (e.g. hydrocortisone, lidocaine)', 'Stool softeners (e.g. lactulose, docusate sodium)', 'Fibre supplements (e.g. ispaghula husk)', 'Oral pain relievers (e.g. paracetamol, ibuprofen)', 'Procedures (e.g. rubber band ligation or sclerotherapy for persistent cases)']"
Heart attack,"['Aspirin (antiplatelet — given immediately during a heart attack)', 'Thrombolytics or primary PCI (to restore blood flow — hospital treatment)', 'Beta-blockers (e.g. metoprolol) to reduce heart workload', 'ACE inhibitors (e.g. ramipril) to protect heart function', 'Statins (e.g. atorvastatin) to lower cholesterol and reduce future risk']"
Varicose veins,"['Compression stockings (first-line conservative treatment)', 'Sclerotherapy (injection to close small varicose veins)', 'Endovenous laser ablation (EVLA) for larger veins', 'Radiofrequency ablation (RFA)', 'Surgical stripping (for severe cases)']"
Hypothyroidism,"['Levothyroxine (synthetic thyroid hormone — the standard treatment)', 'Dose adjusted based on regular TSH blood tests', 'Liothyronine (T3 supplement, used in selected cases)', 'Selenium supplements (may support thyroid function in some patients)', 'Regular thyroid function monitoring every 6-12 months once stable']"
Hyperthyroidism,"['Antithyroid medications (e.g. carbimazole, propylthiouracil)', 'Beta-blockers (e.g. propranolol) to control palpitations and tremor', 'Radioactive iodine therapy (definitive treatment in many cases)', 'Thyroidectomy (surgical removal, for selected patients)', 'Regular thyroid function monitoring during treatment']"
Hypoglycemia,"['Fast-acting glucose (glucose tablets, fruit juice, or sugary drink) for immediate treatment', 'Glucagon injection (for severe hypoglycaemia when the person cannot swallow)', 'IV dextrose (administered in hospital for severe cases)', 'Adjustment of diabetes medication dose by doctor if episodes are recurrent', 'Continuous glucose monitoring (CGM) to detect and prevent episodes']"
Osteoarthristis,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']"
Arthritis,"['NSAIDs (e.g. ibuprofen, naproxen) for pain and inflammation', 'Disease-modifying antirheumatic drugs (DMARDs) e.g. methotrexate (for rheumatoid arthritis)', 'Biologics (e.g. adalimumab, etanercept) for moderate to severe rheumatoid arthritis', 'Corticosteroids (e.g. prednisolone) for flare-ups', 'Hydroxychloroquine (for mild rheumatoid arthritis)']"
(vertigo) Paroymsal Positional Vertigo,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']"
Acne,"['Topical benzoyl peroxide (reduces bacteria and unclogs pores)', 'Topical retinoids (e.g. tretinoin, adapalene) to prevent blocked pores', 'Topical or oral antibiotics (e.g. clindamycin, doxycycline) for inflammatory acne', 'Combined oral contraceptive pill (for hormonal acne in women)', 'Isotretinoin (oral retinoid for severe or scarring acne, under dermatologist supervision)']"
Urinary tract infection,"['Antibiotics (e.g. trimethoprim, nitrofurantoin, or fosfomycin — choice based on local guidelines)', 'Phenazopyridine (urinary analgesic for burning relief — short-term use only)', 'Paracetamol or ibuprofen for pain and fever', 'Increased fluid intake to help flush bacteria', 'Prophylactic low-dose antibiotics (for recurrent UTIs, under medical guidance)']"
Psoriasis,"['Topical corticosteroids (e.g. betamethasone) for mild to moderate plaques', 'Vitamin D analogues (e.g. calcipotriol) to slow skin cell growth', 'Topical retinoids (e.g. tazarotene)', 'Phototherapy (UVB light therapy) for widespread psoriasis', 'Biologics (e.g. adalimumab, secukinumab) for moderate to severe psoriasis']"
Impetigo,"['Topical antibiotic cream (e.g. fusidic acid or mupirocin) for localised impetigo', 'Oral antibiotics (e.g. flucloxacillin or cefalexin) for widespread or severe impetigo', 'Antiseptic wash to gently clean affected areas', 'Warm compresses to soften and remove crusts before applying cream', 'Keep sores covered and maintain strict hand hygiene to prevent spread']"
